,Country Name,Country Code,2017,2018,2019,2020,2021,2022,mean_gdp
91,Greenland,GRL,2851610655.92391,3055791340.7025,2997331094.25136,3082909157.60994,3235816195.06609,,3044691688.7107596
92,Guatemala,GTM,71653756504.1625,73328369925.8478,77172313916.4218,77715183063.2054,86053079767.3507,95003333381.1936,80154339426.36363
93,Guam,GUM,6013000000.0,6056000000.0,6366000000.0,5886000000.0,6123000000.0,,6088800000.0
94,Guyana,GUY,4748174334.14044,4787637005.53638,5173760191.84652,5471256594.72422,8044498800.95923,15357537068.3434,7263810665.925031
95,High income,HIC,51570870016899.8,54839704976037.1,55315474922573.4,53937976780898.1,60016712305060.2,61535768880816.7,56202751313714.22
96,"Hong Kong SAR, China",HKG,341273289534.466,361731070995.726,363074560517.276,344943149590.058,368911387845.418,359838598806.091,356628676214.8392
97,Honduras,HND,23136248046.2979,24067750465.9361,25089937108.6681,23827859694.7921,28488721296.2012,31717700115.2546,26054702787.858334
98,Heavily indebted poor countries (HIPC),HPC,809850137940.151,771241850302.934,799160667507.735,808664234946.38,898771753067.723,970109981803.944,842966437594.8112
99,Croatia,HRV,55937483557.9256,61330483609.8835,61329267533.1316,57624938982.3606,68843674641.2112,70964606464.6427,62671742464.8592
100,Haiti,HTI,15093357143.42,16403864521.4121,15016090929.8744,14508222518.158,20877414952.1236,20253551885.2146,17025416991.700449
101,Hungary,HUN,143112196040.326,160565642983.587,164020460331.659,157227094449.074,182275444031.79,178788572067.589,164331568317.3375
102,IBRD only,IBD,28689022224808.5,30520147708890.0,31181885466267.4,30036645646514.1,35615582809273.0,37635709395799.7,32279832208592.113
103,IDA & IBRD total,IBT,30978325716193.1,32893629417407.6,33639428774236.2,32450856363672.7,38246179203967.4,40448776490634.5,34776199327685.25
104,IDA total,IDA,2288777969587.38,2373505833478.72,2457261018776.69,2413496959520.84,2630947161900.7,2813266144561.78,2496209181304.351
105,IDA blend,IDB,960023974850.292,1048863296886.91,1069700472074.97,1002567723026.3,1096038565477.42,1173302850133.18,1058416147074.8452
106,Indonesia,IDN,1015618744168.15,1042271532953.36,1119099871386.16,1059054842711.72,1186505455720.81,1319100220389.02,1123608444554.8699
107,IDA only,IDX,1328753994737.09,1324642536591.81,1387560546701.72,1410929236494.53,1534883548261.97,1639926057562.36,1437782653391.58
108,Isle of Man,IMN,6979791187.09008,7491654051.08011,7314966839.10981,6684229268.52985,,,7117660336.452462
109,India,IND,2651474263257.15,2702929639861.5,2835606242052.48,2671595389575.7,3150306834279.65,3385089881935.39,2899500375160.312
110,Not classified,INX,,,,,,,
111,Ireland,IRL,336377500160.549,385736680797.111,399321701632.424,425852281928.114,504182603275.542,529244870222.765,430119273002.7508
112,"Iran, Islamic Rep.",IRN,486630147094.69,327900695065.853,283649531542.631,239735486745.704,359096907772.985,388544468139.733,347592872726.9326
113,Iraq,IRQ,187217660050.676,227367469034.031,233636097800.338,180924091442.953,207691599310.345,264182173793.103,216836515238.57434
114,Iceland,ISL,24728285177.4603,26260850582.0687,24663643101.958,21553080483.8132,25552639899.067,27841648044.3753,25100024548.12375
115,Israel,ISR,358245427458.541,376691526553.276,402470513619.148,413267669231.522,488526545878.891,522033446211.625,426872521492.1672
116,Italy,ITA,1961796197354.37,2091932426266.94,2011302198827.41,1897210466667.52,2114355756913.92,2010431598465.38,2014504774082.5898
117,Jamaica,JAM,14808984880.5796,15730791525.65,15830766372.2651,13812421859.4026,14657586359.3802,17097760745.2096,15323051957.081182
118,Jordan,JOR,41608435915.493,43370860704.2254,44503005774.6479,43579916197.1831,45116317042.2535,47451499859.1549,44271672582.15964
119,Japan,JPN,4930837369151.42,5040880939324.86,5117993853016.51,5048789595589.43,5005536736792.29,4231141201863.17,4895863282622.946
120,Kazakhstan,KAZ,166805788966.78,179339977517.062,181667185041.48,171082365723.326,197112255360.612,220623001966.686,186105095762.65768
121,Kenya,KEN,82036511258.8324,92202979940.671,100378435824.178,100657505600.655,109703659312.872,113420008178.793,99733183352.66692
122,Kyrgyz Republic,KGZ,7702938395.18458,8271106196.04253,8871019822.76098,7780873258.66887,8740681889.20633,10930644915.2401,8716210746.183899
123,Cambodia,KHM,22177200588.6749,24571753581.7841,27089390032.8915,25872797892.0285,26961061152.2979,29956769529.428,26104828796.184147
124,Kiribati,KIR,188540699.145686,196501504.185186,175181684.792212,177553260.108828,227610034.764306,223352943.188404,198123354.3641037
125,St. Kitts and Nevis,KNA,1058944444.44444,1076922222.22222,1107844444.44444,884522222.222222,860844444.444444,961563259.259259,991773506.1728374
126,"Korea, Rep.",KOR,1623901496835.79,1724845615629.26,1651422932447.77,1644312785467.12,1810955871380.98,1665245538594.96,1686780706725.9797
127,Kuwait,KWT,120687635952.46,138202309918.726,136191752590.897,105948765156.029,136797422273.868,184558274288.737,137064360030.1195
128,Latin America & Caribbean (excluding high income),LAC,4980919738935.91,4836605850788.75,4769077474514.31,4020603113235.61,4624162365921.03,5300574665731.37,4755323868187.83
129,Lao PDR,LAO,17071162084.4067,18141651381.3884,18740559554.1632,18981800705.0794,18827148530.0151,15724383783.2385,17914451006.38188
130,Lebanon,LBN,53027680685.8375,54901519155.6219,51605959131.3654,31712128253.7961,23131941556.7843,,42875845756.681046
131,Liberia,LBR,3390703400.0,3422754800.0,3319596500.0,3039982500.0,3509000000.0,4001047150.0,3447180725.0
132,Libya,LBY,67157451660.2727,76686048499.3527,69254143968.3398,46808208747.2754,39798423941.0335,45752336035.9846,57576102142.04312
133,St. Lucia,LCA,1996703703.7037,2057074074.07407,2094185185.18518,1516000000.0,1691259259.25926,2065027555.55556,1903374962.962962
134,Latin America & Caribbean,LCN,5832610432359.4,5706087467774.46,5622813152782.54,4777568569259.72,5510523909432.78,6246621760429.05,5616037548672.991
135,Least developed countries: UN classification,LDC,1104009004406.99,1088187940163.63,1142396570094.39,1162434896497.14,1266463101991.61,1416759808404.47,1196708553593.0383
136,Low income,LIC,491499092098.709,415816146816.49,442286990942.081,436035519309.06,467876851996.68,521634375508.578,462524829445.26636
137,Liechtenstein,LIE,6474310909.50636,6692618410.5125,6436467007.11932,6405765970.4778,7186428783.11896,,6639118216.146989
138,Sri Lanka,LKA,94376237831.5778,94493871351.4217,89014978319.0703,84440535698.8207,88496535599.3564,74403578363.4355,87537622860.61372
139,Lower middle income,LMC,6447085710234.66,6606760498754.65,6874526773448.24,6619062047763.54,7592013359834.72,8109649831658.54,7041516370282.392
140,Low & middle income,LMY,29590502584084.8,31364367229265.6,32110421084434.4,30983506895431.5,36537287030968.6,38687654409587.6,33212289872295.418
141,Lesotho,LSO,2306741598.79677,2556247155.56945,2436029587.61009,2117736527.79886,2373416268.51107,2553459762.7992,2390605150.180907
142,Late-demographic dividend,LTE,20629823637317.1,22621357448474.1,23047283010403.6,22525940505680.5,26827496302511.4,28078790059154.9,23955115160590.27
143,Lithuania,LTU,47758736931.7805,53751411409.4437,54760617012.9166,56914826860.6918,66414994991.7935,70334299008.3797,58322481035.8343
144,Luxembourg,LUX,65712180342.9842,71000359760.4599,69825641851.0104,73992591285.3017,85506243833.7816,82274812250.9186,74718638220.74274
145,Latvia,LVA,30483806017.8321,34429023435.0205,34343961072.8229,34601740323.338,39725383601.2125,41153912662.862,35789637852.181335
146,"Macao SAR, China",MAC,50440935654.0075,55284309690.2698,55204960999.5882,25459685019.548,30123795336.8931,21979475560.6214,39748860376.821335
147,St. Martin (French part),MAF,,,,,,,
148,Morocco,MAR,118540574727.552,127341141871.205,128920265075.525,121347533649.793,142866583124.696,134181587769.796,128866281036.42784
149,Monaco,MCO,6431274937.64707,7194256778.2745,7383941919.21567,6739642360.46694,8596156573.64327,,7269054513.84949
150,Moldova,MDA,9519053158.46404,11253727815.4762,11735774634.4239,11531967881.0624,13692230147.0588,14420947883.5979,12025616920.013876
151,Madagascar,MDG,13176313593.5509,13760033282.6071,14104664677.9627,13051441203.4474,14554754115.2112,14954967604.4073,13933695746.197767
152,Maldives,MDV,4754185598.8417,5300949822.99805,5609385433.592,3746329358.28788,5405557161.73799,6189865408.23158,5167712130.614866
153,Middle East & North Africa,MEA,3352271233734.46,3516514202416.88,3522808006382.47,3157878645367.9,3740992832406.26,4414423065617.28,3617481330987.5415
154,Mexico,MEX,1158912015259.01,1222405556421.13,1269009571610.76,1090514966785.91,1272838810896.09,1414187193992.25,1237978019160.8582
155,Marshall Islands,MHL,212701200.0,219330300.0,232092300.0,241722400.0,259538700.0,279667900.0,240842133.33333334
156,Middle income,MIC,29101978685393.7,30947243041064.9,31667498458543.1,30547251417512.0,36066152279426.7,38164267887582.5,32749065294920.48
157,North Macedonia,MKD,11307067000.7188,12683068033.1043,12606338448.547,12363580534.6811,13825049831.7959,13563132057.2486,12724705984.349283
158,Mali,MLI,15365713059.1057,17070867577.6666,17280250805.2245,17465392779.0366,19309463505.9833,18827176532.3169,17553144043.222263
159,Malta,MLT,13489296992.0001,15298004130.4975,15881258056.2009,15046136935.4814,17743376199.3523,17765270014.7571,15870557054.714882
160,Myanmar,MMR,61449391917.1276,67144726167.9294,68697761477.1809,78930259068.5275,65124769601.7482,59364362540.5524,66785211795.51099
161,Middle East & North Africa (excluding high income),MNA,1476907778479.73,1400046333583.24,1408624610717.23,1284929306042.49,1507013655174.51,1676993028171.17,1459085785361.3948
162,Montenegro,MNE,4856602178.63413,5506944403.30196,5542053845.29274,4769995511.55242,5861430525.58447,6095978867.69929,5438834222.010835
163,Mongolia,MNG,11480847740.0839,13178094719.8612,14206359016.4014,13312981427.4023,15286441740.129,16810883360.913,14045934667.465132
164,Northern Mariana Islands,MNP,1560000000.0,1301000000.0,1181000000.0,858000000.0,,,1225000000.0
165,Mozambique,MOZ,13219079497.7055,14845400592.6712,15390031039.9957,14156864916.4711,15776757419.5197,17851491427.6765,15206604149.006617
166,Mauritania,MRT,6800138755.34592,7473550557.07378,8066118984.30581,8405498735.74293,9996240418.70784,10375460680.4361,8519501355.26873
167,Mauritius,MUS,13713505998.0391,14735695930.9727,14436347115.2893,11401040995.9946,11476433603.7814,12898307089.1315,13110221788.868101
168,Malawi,MWI,8943543677.18899,9880675785.93057,11025371147.1876,12056108780.2073,12602334123.7637,13164667626.9363,11278783523.535744
169,Malaysia,MYS,319109103242.055,358788833524.945,365177744321.011,337339463179.961,372981073017.749,406305924656.071,359950356990.29865
170,North America,NAC,21133744509244.1,22265581227435.8,23132124767672.5,22714959162302.7,25323694505423.9,27610090523673.8,23696699115958.8
171,Namibia,NAM,12895153160.466,13682019171.6627,12541928102.7657,10583748757.3345,12446290854.8973,12607436975.946,12459429503.845367
172,New Caledonia,NCL,9173669999.59434,9896402295.48329,9475655341.98316,9454629451.03219,10071349707.1581,,9614341359.050217
173,Niger,NER,11185101444.3729,12808661487.4035,12916454870.5458,13744174582.2532,14915002098.4975,13969605582.5202,13256500010.932182
174,Nigeria,NGA,375745732274.676,421739210176.152,474517470742.749,432198936002.177,440833583992.485,477386120635.845,437070175637.34735
175,Nicaragua,NIC,13785890939.4447,13025266513.3167,12699028889.666,12678162359.4021,14145852100.7591,15671583877.9712,13667630780.0933
176,Netherlands,NLD,833869641687.068,914043438179.591,910194347568.61,909793466661.466,1011798853062.0,991114635529.187,928469063781.3203
177,Norway,NOR,401745275035.261,439788625883.8,408742840909.091,367633418886.627,490293364377.183,579267365866.343,447911815159.71747
178,Nepal,NPL,28971588880.8208,33111525182.7133,34186180694.9285,33433659223.1789,36924841430.0574,40828247302.4851,34576007119.03067
179,Nauru,NRU,109355653.690742,130995580.092154,125160081.80546,124685686.622889,145536603.234791,150922211.044258,131109302.74838233
180,New Zealand,NZL,206556258844.567,211886686924.483,213091987153.092,212569779569.515,255551704625.831,247234053739.267,224481745142.7925
181,OECD members,OED,50447226919268.8,53371534234287.0,53878159069137.1,52536127270671.7,58363931312919.0,59596537275134.1,54698919346902.96
182,Oman,OMN,80856697009.1027,91505851755.5267,88060858257.4772,75909397659.2978,88191977373.212,114667360208.062,89865357043.77974
183,Other small states,OSS,399126295563.396,443078577997.35,434119014495.412,378201169802.007,455685066365.311,529870616389.929,440013456768.9009
184,Pakistan,PAK,339205536454.445,356128167702.894,320909472926.461,300425609206.18,348262544719.247,376532751806.989,340244013802.7027
185,Panama,PAN,62202700000.0,67294169234.6291,69721787532.9789,57086836942.4052,67406738051.7437,76522511780.6222,66705790590.396515
186,Peru,PER,211007952315.888,222597030191.041,228325852220.761,201947603715.409,223717791482.577,242631549613.268,221704629923.15732
187,Philippines,PHL,328480738147.1,346841896890.489,376823404772.837,361751145432.404,394087362017.318,404284327311.713,368711479095.3101
188,Palau,PLW,285600000.0,284900000.0,278900000.0,251900000.0,217800000.0,,263820000.0
189,Papua New Guinea,PNG,22742696407.5093,24109780113.2307,24751069237.9977,23848442440.267,26311656000.0,30633444294.631,25399514748.939285
190,Poland,POL,524641206562.004,588779850763.487,596058473058.766,599442783603.187,679441900610.663,688176605954.787,612756803425.4824
191,Pre-demographic dividend,PRE,1294933204784.59,1348307586808.15,1421160801515.26,1308382294199.16,1429588429473.92,1612324668164.53,1402449497490.935
192,Puerto Rico,PRI,103445500000.0,100958100000.0,105126400000.0,103130900000.0,106368900000.0,113434800000.0,105410766666.66667
193,"Korea, Dem. People's Rep.",PRK,,,,,,,
194,Portugal,PRT,221357874718.932,242313116577.963,239986922638.897,229031860520.773,253982847571.015,251945377529.388,239769666592.828
195,Paraguay,PRY,38997129809.1697,40225448651.3062,37925338460.1556,35432177936.3317,39950899733.227,41722295362.0667,39042214992.042816
196,West Bank and Gaza,PSE,16128000000.0,16276600000.0,17133500000.0,15531700000.0,18109000000.0,19111900000.0,17048450000.0
197,Pacific island small states,PSS,10256678899.6612,10760671502.4149,10739835368.721,9531900179.0281,9475964549.32853,10226024919.578,10165179236.455286
198,Post-demographic dividend,PST,47535727573455.9,50385041767149.8,50880064647603.9,49719390050877.1,55090863284051.6,56013534785820.3,51604103684826.43
199,French Polynesia,PYF,5833352684.45264,6135116260.64814,6022276207.18983,5731835679.23061,6080359305.28965,,5960588027.362174
200,Qatar,QAT,161099122225.275,183334953818.681,176371267689.082,144411363345.27,179677131707.294,237295575171.103,180364902326.11752
201,Romania,ROU,210147181055.277,243316050520.725,251017797625.017,251362534092.315,285404683024.537,301261582924.085,257084971540.32602
202,Russian Federation,RUS,1574199355092.71,1657328764645.93,1693114993990.49,1493075887459.81,1836892075547.52,2240422438363.27,1749172252516.6213
203,Rwanda,RWA,9252833678.08916,9636510839.30707,10346675636.3397,10172925171.5869,11055281971.0454,13312796765.2336,10629504010.266973
204,South Asia,SAS,3433883301221.75,3534209044993.87,3658004814522.01,3490012356687.83,4062783801939.27,4361631457999.02,3756754129560.625
205,Saudi Arabia,SAU,714994694991.651,846583785179.856,838564705624.643,734271183954.88,868585871464.541,1108148978218.49,851858203239.0101
206,Sudan,SDN,129718581297.431,32333780383.2924,32338079165.2893,27034593750.0,34229513774.9936,51662241775.2425,51219465024.374794
207,Senegal,SEN,20996562958.501,23116701539.5646,23403995984.9306,24530513058.5946,27569136728.2565,27684430244.4907,24550223419.056335
208,Singapore,SGP,343272878686.388,376869585632.115,376837488316.973,348392174863.651,423796995372.726,466788539651.836,389326277087.2815
209,Solomon Islands,SLB,1469789050.30851,1615478421.45974,1619154958.40233,1536145831.0639,1580303517.17092,1595710784.31373,1569430427.119855
210,Sierra Leone,SLE,3719443317.52413,4085114542.06831,4076578653.54714,4062906363.55623,4249234573.98708,3970343852.31939,4027270217.167047
211,El Salvador,SLV,24979190000.0,26020850000.0,26881140000.0,24930080000.0,29451240000.0,32488720000.0,27458536666.666668
212,San Marino,SMR,1528621195.45849,1655354303.82885,1616188702.34405,1541247884.00207,1855382833.14678,,1639358983.7560477
