"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Australia","AUS","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","","93.0348281860352","","94.0298538208008","","93.532341003418","94.5273666381836","94.2307662963867","94.2307662963867","94.711540222168","94.2307662963867","94.711540222168","94.3127975463867","94.7867279052734","95.7746505737305","95.7746505737305","94.3661956787109","93.596061706543","93.1034469604492","94.0886688232422","94.0886688232422","94.1747589111328","92.2705307006836","93.2367172241211","93.7198104858398","93.2367172241211",
"Austria","AUT","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.5","","92.0398025512695","","90.0497512817383","","91.5422897338867","91.5422897338867","92.788459777832","90.3846130371094","93.75","94.711540222168","94.2307662963867","94.7867279052734","95.2606658935547","94.8356781005859","95.3051605224609","95.7746505737305","94.5812835693359","94.0886688232422","93.596061706543","95.0738906860352","94.6601943969727","94.6859893798828","95.6521759033203","94.6859893798828","94.2028961181641",
"Azerbaijan","AZE","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5","","17.9104480743408","","21.8905467987061","","20.3980102539063","20.3980102539063","18.75","15.384614944458","10.5769233703613","12.0192308425903","11.057692527771","13.2701425552368","12.7962083816528","12.6760559082031","12.2065725326538","9.38967132568359","7.38916254043579","6.89655160903931","6.40394067764282","6.89655160903931","7.28155326843262","7.24637699127197","5.79710149765015","7.72946882247925","9.66183567047119",
"Burundi","BDI","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","","8.4577112197876","","7.46268653869629","","14.4278602600098","13.9303483963013","12.0192308425903","28.365385055542","27.4038467407227","26.9230766296387","28.8461532592773","29.3838863372803","20.8530807495117","21.1267604827881","23.474178314209","21.5962448120117","21.1822662353516","13.3004922866821","7.88177347183228","6.40394067764282","5.82524251937866","4.8309178352356","6.7632851600647","12.0772943496704","10.6280193328857",
"Belgium","BEL","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.5","","91.5422897338867","","92.5373153686523","","93.0348281860352","95.5223846435547","90.8653869628906","91.3461532592773","92.788459777832","93.75","92.788459777832","93.3649291992188","94.3127975463867","92.9577484130859","92.9577484130859","92.9577484130859","94.0886688232422","94.5812835693359","95.5665054321289","93.1034469604492","92.7184448242188","93.7198104858398","90.8212585449219","90.3381652832031","92.7536239624023",
"Benin","BEN","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","","62.6865653991699","","60.6965179443359","","51.243782043457","54.7263679504395","51.4423065185547","49.519229888916","57.6923065185547","57.6923065185547","57.6923065185547","57.8199043273926","56.8720397949219","54.4600944519043","54.9295768737793","55.8685455322266","57.1428565979004","58.6206893920898","60.0985221862793","58.1280784606934","56.7961158752441","49.2753639221191","42.9951705932617","37.6811599731445","37.1980667114258",
"Burkina Faso","BFA","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","37.8109436035156","","44.2786064147949","","39.3034820556641","40.2985076904297","35.0961532592773","34.1346168518066","34.6153831481934","36.538459777832","38.461540222168","37.9146919250488","37.9146919250488","37.5586853027344","38.0281677246094","39.9061050415039","35.9605903625488","42.8571434020996","48.2758636474609","48.2758636474609","42.7184448242188","38.6473426818848","39.1304359436035","41.5458946228027","30.4347820281982",
"Bangladesh","BGD","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","47.2636833190918","","44.7761192321777","","37.3134346008301","31.8407955169678","27.884614944458","30.2884616851807","32.211540222168","31.25","33.1730766296387","38.3886260986328","36.9668235778809","36.1502342224121","34.7417831420898","34.7417831420898","32.019702911377","30.5418720245361","30.5418720245361","30.0492610931396","27.1844654083252","26.57004737854","26.57004737854","28.019323348999","28.019323348999",
"Bulgaria","BGR","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.5","","63.1840782165527","","62.1890563964844","","63.6815910339355","65.1741256713867","66.3461532592773","66.3461532592773","65.8653869628906","68.2692337036133","65.8653869628906","64.9289093017578","64.4549789428711","61.5023460388184","61.5023460388184","58.2159614562988","59.6059112548828","61.0837440490723","59.1133003234863","60.0985221862793","58.737865447998","58.4541053771973","56.038646697998","56.5217399597168","57.0048294067383",
"Bahrain","BHR","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5","","16.4179096221924","","17.412935256958","","31.343282699585","30.348258972168","31.25","25","23.5576915740967","25","23.0769233703613","26.5402851104736","19.9052124023438","13.1455402374268","11.2676057815552","12.2065725326538","11.3300495147705","11.822660446167","10.837438583374","11.3300495147705","10.6796112060547","10.1449279785156","9.17874431610107","8.69565200805664","10.1449279785156",
"Bahamas, The","BHS","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.5","","85.0746231079102","","87.0646743774414","","87.5621871948242","80.0995025634766","81.25","77.8846130371094","80.7692337036133","84.6153869628906","86.0576934814453","78.1990509033203","76.7772521972656","75.5868530273438","75.5868530273438","74.6478881835938","80.2955627441406","75.8620681762695","74.8768463134766","74.8768463134766","72.3300933837891","76.328498840332","76.8115921020508","75.3623199462891","74.3961334228516",
"Bosnia and Herzegovina","BIH","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","48.756217956543","","48.756217956543","","46.2686576843262","55.2238807678223","55.769229888916","58.1730766296387","53.3653831481934","52.8846168518066","49.038459777832","48.3412322998047","45.497631072998","42.7230033874512","45.0704231262207","43.6619720458984","46.305419921875","43.3497543334961","41.8719215393066","38.9162559509277","36.8932037353516","37.6811599731445","36.7149772644043","36.2318840026855","37.6811599731445",
"Belarus","BLR","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5","","27.3631839752197","","11.9402980804443","","8.4577112197876","8.95522403717041","5.76923084259033","3.36538457870483","5.28846168518066","6.25","6.73076915740967","7.10900497436523","7.10900497436523","5.16431903839111","6.1032862663269","5.63380289077759","7.88177347183228","8.3743839263916","12.8078813552856","12.3152713775635","12.1359224319458","11.1111106872559","8.69565200805664","6.7632851600647","5.31400966644287",
"Belize","BLZ","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","","73.1343307495117","","76.1194000244141","","71.6417922973633","72.1393051147461","73.5576934814453","71.1538467407227","63.461540222168","63.461540222168","67.788459777832","70.1421813964844","68.7203826904297","68.0751190185547","69.0140838623047","69.0140838623047","65.0246276855469","66.9950714111328","66.5024642944336","66.5024642944336","60.1941757202148","63.2850227355957","62.3188400268555","62.8019332885742","61.835750579834",
"Bermuda","BMU","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86","","85.572135925293","","74.6268692016602","","84.5771179199219","87.5621871948242","85.0961532592773","85.5769195556641","80.288459777832","78.3653869628906","79.3269195556641","77.2511825561523","78.1990509033203","78.8732376098633","80.7511749267578","81.2206573486328","","","","","","","","","",
"Bolivia","BOL","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.5","","59.7014923095703","","54.2288551330566","","53.233829498291","45.2736320495605","43.75","44.230770111084","49.519229888916","47.5961532592773","48.0769233703613","48.8151664733887","47.3933639526367","46.478874206543","45.5399055480957","46.478874206543","48.2758636474609","46.7980308532715","45.320198059082","45.320198059082","43.2038841247559","40.5797119140625","42.0289840698242","42.0289840698242","39.613525390625",
"Brazil","BRA","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.5","","58.7064666748047","","58.2089538574219","","62.6865653991699","62.1890563964844","60.5769233703613","63.9423065185547","61.0576934814453","63.9423065185547","63.9423065185547","62.5592422485352","65.8767776489258","63.3802833557129","62.9107971191406","60.5633811950684","62.0689659118652","62.0689659118652","62.0689659118652","61.0837440490723","59.7087364196777","56.5217399597168","57.0048294067383","56.038646697998","55.5555572509766",
"Barbados","BRB","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.5","","88.5572128295898","","88.059700012207","","88.5572128295898","86.0696487426758","84.1346130371094","78.8461532592773","81.7307662963867","80.288459777832","75","86.2559204101563","86.7298583984375","84.9765243530273","87.3239440917969","86.8544616699219","85.7142868041992","83.7438430786133","83.7438430786133","84.2364501953125","83.0097122192383","84.5410614013672","86.4734268188477","86.9565200805664","86.4734268188477",
"Brunei Darussalam","BRN","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","28.3582096099854","","28.3582096099854","","23.3830852508545","25.8706474304199","24.0384616851807","24.519229888916","18.269229888916","18.269229888916","19.230770111084","28.9099521636963","29.8578205108643","29.1079807281494","30.9859161376953","30.9859161376953","29.0640392303467","26.1083736419678","23.1527099609375","22.660099029541","24.2718448638916","21.7391300201416","22.7053146362305","24.6376819610596","25.6038646697998",
"Bhutan","BTN","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","15.4228858947754","","13.9303483963013","","11.4427862167358","16.4179096221924","20.6730766296387","16.8269233703613","18.75","24.0384616851807","31.730770111084","32.7014236450195","34.5971565246582","34.2723007202148","39.9061050415039","43.1924896240234","44.8275871276855","46.305419921875","46.305419921875","46.7980308532715","49.029125213623","49.7584533691406","53.6231880187988","55.0724639892578","53.1400947570801",
